iter	Passed	Remaining
0	154	30711
1	158	15669
2	160	10542
3	162	7941
4	163	6381
5	165	5341
6	166	4589
7	168	4032
8	169	3597
9	171	3250
10	172	2965
11	174	2728
12	175	2527
13	177	2354
14	178	2204
15	180	2072
16	181	1956
17	183	1853
18	184	1761
19	186	1678
20	188	1602
21	189	1533
22	191	1470
23	192	1412
24	194	1359
25	195	1310
26	197	1264
27	199	1224
28	201	1185
29	202	1149
30	204	1115
31	206	1083
32	208	1053
33	210	1025
34	211	999
35	213	974
36	215	951
37	217	928
38	219	906
39	221	886
40	223	866
41	225	847
42	227	829
43	229	812
44	230	795
45	232	779
46	234	764
47	236	749
48	238	734
49	240	721
50	242	708
51	244	694
52	246	682
53	247	670
54	249	658
55	251	647
56	253	636
57	255	626
58	257	616
59	259	606
60	261	596
61	263	586
62	265	577
63	267	568
64	269	559
65	271	551
66	273	542
67	275	534
68	277	526
69	279	518
70	281	510
71	283	503
72	285	496
73	287	488
74	289	481
75	291	474
76	292	468
77	294	461
78	296	454
79	298	447
80	300	441
81	302	435
82	304	429
83	306	423
84	308	417
85	310	411
86	312	406
87	314	400
88	316	395
89	318	389
90	321	384
91	323	379
92	325	374
93	327	369
94	329	363
95	331	358
96	333	354
97	335	349
98	337	344
99	339	339
100	341	334
101	343	330
102	345	325
103	347	320
104	349	316
105	351	312
106	353	307
107	355	303
108	358	298
109	360	294
110	362	290
111	364	286
112	366	282
113	368	278
114	370	273
115	372	269
116	374	265
117	377	262
118	379	258
119	380	253
120	382	249
121	384	246
122	387	242
123	389	238
124	392	235
125	394	231
126	396	227
127	398	224
128	400	220
129	402	216
130	403	212
131	406	209
132	408	205
133	410	202
134	412	198
135	414	195
136	417	191
137	419	188
138	421	184
139	423	181
140	425	178
141	427	174
142	430	171
143	432	168
144	434	164
145	436	161
146	439	158
147	441	155
148	443	151
149	445	148
150	447	145
151	449	142
152	451	138
153	454	135
154	456	132
155	457	129
156	459	125
157	462	122
158	464	119
159	466	116
160	468	113
161	470	110
162	472	107
163	474	104
164	477	101
165	479	98
166	481	95
167	483	92
168	485	89
169	488	86
170	490	83
171	492	80
172	494	77
173	496	74
174	498	71
175	501	68
176	502	65
177	504	62
178	505	59
179	508	56
180	510	53
181	512	50
182	514	47
183	516	44
184	518	42
185	520	39
186	522	36
187	525	33
188	526	30
189	529	27
190	531	25
191	533	22
192	535	19
193	537	16
194	539	13
195	541	11
196	543	8
197	545	5
198	547	2
199	549	0
